Item ID,Item Type,Home Location,Current Location,Name,Category,Replacement Cost
ETL1119,Hand Shovel,,,Garden Spade,Garden,4
ETL0844,Crescent Wrench,Leith,Leith,Spark Plug Wrench 20mm,Automotive,3
ETL1111,Crescent Wrench,Leith,Leith,Spark Plug Wrench 20mm,Automotive,3
ETL0179,Jacks,Leith,Leith,Hydraulic trolley jack,Automotive,5
ETL1084,Crescent Wrench,Leith,Leith,Wheel Wrench Cross,Automotive,15
ETL0549,Open End Wrench,Leith,Leith,Combination Spanner/Wrench set,Automotive,20
ETL0677,Open End Wrench,Leith,Leith,Combination Spanner/Wrench set,Automotive,20
ETL1234,Open End Wrench,Leith,Leith,Combination Spanner/Wrench set,Automotive,20
ETL1247,Cargo Vans,Leith,Leith,Truck bed cargo net,Automotive,20
ETL0531,Jack Stands,Leith,Leith,1.5 tonne Axle stands,Automotive,30
ETL0930,Jack Stands,Leith,Leith,3 tonne Axle stands,Automotive,30
ETL0532,Automotive Jacks,Leith,Leith,Car jack,Automotive,30
ETL0978,Automotive Trickle Chargers,Leith,Leith,6 amp 12 V Battery Charger,Automotive,
ETL0634,Automotive Trickle Chargers,Leith,Leith,6 amp Battery Charger,Automotive,
ETL1124,Pressure Washers,Leith,Leith,8L Vehicle Washing Sprayer,Automotive,100
ETL1062,Automotive Ramps,Leith,Leith,Car Ramp,Automotive,
ETL1211,Automotive Tools,Leith,Leith,Jump Leads,Automotive,
ETL1024,Crescent Wrench,Portobello,Portobello,Torque Wrench,Bike,3
ETL1874,Crescent Wrench,Leith,Leith,Torque Wrench,Bike,3
ETL1085,Allen Wrench Sets,Portobello,Portobello,Bike Allen Key Set,Bike,10
ETL0883,Bottom Bracket Tools,Leith,Leith,Bottom Bracket Removing Tool,Bike,15
ETL1118,Bike Tools,Portobello,Portobello,"Bike Pump, Floor",Bike,20
ETL0308,Stands & Work Tables,Leith,Leith,Bike Workstand,Bike,30
ETL1223,Bicycle Accessories,Leith,Leith,15 mm Bicycle Pedal Spanner,Bike,
ETL0973,Bike Tools,Leith,Leith,Bicycle Floor Pump,Bike,20
ETL1226,Bicycle Accessories,Leith,Leith,Bungee cords,Bike,
ETL1222,Bicycle Accessories,Leith,Leith,Chain Whip,Bike,
ETL1227,Bicycle Accessories,Leith,Leith,Crank Remover,Bike,
ETL0643,Hand Tools,Leith,Leith,Vintage Dunlop Foot Pump,Bike,0
ETL0286,Files,Leith,Leith,Rasp,Carpentry and Woodworking,1
