"Item.ID","Item.Type","Home.Location","Current.Location","Name","Categories","Min.Frequency","Replacement.Cost","Category","weight","type"
"2","Claw Hammers","Leith","Leith","Claw Hammer","Carpentry and Woodworking, General DIY",NA,5,"General DIY",NA,NA
"3","Hoes","Leith","Leith","Garden hoe","Garden",NA,5,"Garden",NA,NA
"4","Sharp Bristle Brushes","Leith","Leith","Wire brush","General DIY",NA,3,"General DIY",NA,NA
"5","Wood Chisel","Leith","Leith","Wood chisel","Carpentry and Woodworking",NA,2,"Carpentry and Woodworking",NA,NA
"7","Routers","Leith","Leith","Router Bit Set","General DIY",NA,8,"General DIY",3.8,"Electrical"
"9","Scrapers","Portobello","Portobello","Paint scraper 60mm","Painting and Decorating",NA,2,"Painting and Decorating",NA,NA
"11","Hand Wood Splitter","Portobello","Portobello","Roughneck Manual Wood Splitter","Garden, General DIY",NA,0,"General DIY",NA,NA
"12","Engraver","Portobello","Portobello","Dremel Multi Tool","Bike, Carpentry and Woodworking, General DIY, Plumbing, Miscellaneous, Automotive, Electrical and Soldering, Metalworking",NA,30,"Carpentry and Woodworking",NA,NA
"13","Cordless Drills","Portobello","Portobello","Makita cordless drill driver","General DIY",NA,0,"General DIY",NA,NA
"ETL0000","Tools","Leith","Leith","OTHER NON-REGISTERED ITEMS","General DIY",NA,30,"General DIY",NA,NA
"ETL0001","Shovels & Digging","Portobello","Leith","Garden Spade","Garden, General DIY, Miscellaneous",NA,4,"Garden",NA,NA
"ETL0002","Shovels & Digging","Leith","Leith","Garden Spade","General DIY",NA,4,"General DIY",NA,NA
"ETL0003","Shovels & Digging","Leith","Leith","Garden Spade","General DIY",NA,4,"General DIY",NA,NA
"ETL0004","Shovels & Digging","Leith","Leith","Garden Spade","General DIY",NA,4,"General DIY",NA,NA
"ETL0006","Spade Shovel","Leith","Leith","Garden Spade","Garden, General DIY, Miscellaneous",NA,5,"Garden",NA,NA
"ETL0007","Digging Fork","Portobello","Portobello","Garden Fork","Garden, Miscellaneous",NA,5,"Garden",NA,NA
"ETL0009","Digging Fork","Leith","Leith","Garden Fork","Garden, Miscellaneous",NA,5,"Garden",NA,NA
"ETL0010","Lawn Care (other)","Leith","Leith","Lawn aerator","Garden, Miscellaneous",NA,5,"Garden",NA,NA
