Item ID,Item Type,Home Location,Current Location,Name,Replacement Cost
11,Hand Wood Splitter,Portobello,Portobello,Roughneck Manual Wood Splitter,
12,Engraver,Portobello,Portobello,Dremel Multi Tool,30
13,Cordless Drills,Portobello,Portobello,Makita cordless drill driver,
2,Claw Hammers,Leith,Leith,Claw Hammer,5
3,Hoes,Leith,Leith,Garden hoe,5
4,Sharp Bristle Brushes,Leith,Leith,Wire brush,
5,Wood Chisel,Leith,Leith,Wood chisel,2
7,Routers,Leith,Leith,Router Bit Set,
9,Scrapers,Portobello,Portobello,Paint scraper 60mm,
ETL0000,Tools,Leith,Leith,OTHER NON-REGISTERED ITEMS,
ETL0001,Shovels & Digging,Portobello,Leith,Garden Spade,4
ETL0002,Shovels & Digging,Leith,Leith,Garden Spade,
ETL0003,Shovels & Digging,Leith,Leith,Garden Spade,
ETL0004,Shovels & Digging,Leith,Leith,Garden Spade,
ETL0006,Spade Shovel,Leith,Leith,Garden Spade,5
ETL0007,Digging Fork,Portobello,Portobello,Garden Fork,5
ETL0009,Digging Fork,Leith,Leith,Garden Fork,5
ETL0010,Lawn Care (other),Leith,Leith,Lawn aerator,5
ETL0011,Lawn Care (other),Leith,Leith,Lawn aerator,5
ETL0012,Pickaxes,Leith,Leith,Heavy pickaxe,6
ETL0013,Pickaxes,Portobello,Portobello,Heavy pickaxe,6
ETL0014,Grass Shear,Leith,Leith,Long handled shears,6
ETL0015,Lawn Care (other),Leith,Leith,Edging shears,5
ETL0016,Metal Garden Rake,Leith,Leith,Garden rake,8
ETL0017,Metal Garden Rake,Leith,Leith,Garden rake,8
ETL0018,Hoes,Leith,Leith,Garden hoe,5
ETL0019,Hoes,Leith,Leith,Garden hoe,5
ETL0020,Grass Shear,Leith,Leith,Garden shears,10
ETL0021,Grass Shear,Leith,Leith,Garden shears,10
ETL0022,Grass Shear,Leith,Leith,Garden shears,10
ETL0023,Jig Saws,Leith,Portobello,Multi tool,57
ETL0024,Jig Saws,Leith,Leith,Performance Variable Speed Jigsaw,30
ETL0025,Corded & Plug-in,Leith,Leith,Parkside Electric Brad Nailer,40
ETL0026,Angle Grinders,Portobello,Portobello,Green Parkside Angle Grinder,54
ETL0027,Random Orbit Sander,Leith,Leith,Draper Random Orbit Sander,40
ETL0028,Biscuit Joiners,Leith,Leith,GMC Biscuit Joiner,40
ETL0029,Power Planer,Leith,Leith,Axminster Electric Hand Planer,45
ETL0030,Routers,Leith,Leith,Bosch Electic Router,80
ETL0032,Welders,Leith,Leith,Einhell Electric Welding Transformer kit,100
ETL0034,Power Planer,Leith,Leith,Powercraft Electric Plane,45
ETL0036,Miter Saws,Leith,Leith,Pro Saw CLM 190LSMS Slide Compound Mitre Saw,80
ETL0037,Jig Saws,Portobello,Portobello,Jig saw,35
ETL0038,Heat Gun,Leith,Leith,Heat gun,45
ETL0040,Power Drills,Portobello,Leith,Electric hammer drill,40
ETL0041,Cordless Drills,Leith,Leith,Cordless drill,25
ETL0043,"Bits, Drivers and Accessories",Leith,Leith,75 Piece Drill Bit set,36
ETL0044,Wood Chisel,Leith,Leith,Wood chisel,2
ETL0045,Wood Chisel,Leith,Leith,Wood chisel,2
ETL0046,Wood Chisel,Portobello,Portobello,Wood chisel,2
ETL0047,Wood Chisel,Leith,Leith,Wood chisel,2
ETL0048,Wood Chisel,Leith,Leith,Wood chisel,2
ETL0049,Wood Chisel,Leith,Leith,Wood chisel 12mm blade,2
ETL0050,Wood Chisel,Portobello,Portobello,Wood chisel,2
ETL0051,Wood Chisel,Leith,Leith,Wood chisel,2
ETL0052,Wood Chisel,Leith,Leith,Wood chisel,2
ETL0053,Wood Chisel,Leith,Leith,Wood chisel,2
ETL0054,Wood Chisel,Portobello,Portobello,Wood chisel,2
ETL0055,Wood Chisel,Leith,Leith,Wood chisel,2
ETL0057,Wood Chisel,Leith,Leith,Wood chisel,2
ETL0058,Wood Chisel,Leith,Leith,Wood chisel,2
ETL0060,Wood Chisel,Leith,Leith,Wood chisel,2
ETL0061,Wood Chisel,Leith,Leith,Wood chisel,2
ETL0062,Wood Chisel,Leith,Leith,Wood chisel,2
ETL0063,Wood Chisel,Leith,Leith,Wood chisel,2
ETL0065,Claw Hammers,Leith,Leith,Claw Hammer,5
ETL0066,Claw Hammers,Leith,Leith,Claw Hammer,5
ETL0068,Claw Hammers,Leith,Leith,tack hammer,5
ETL0069,Claw Hammers,Leith,Leith,tack hammer,5
