Item ID,Item Type,Home Location,Current Location,Name,Categories,Min Frequency,Replacement Cost,Category
2,Claw Hammers,Leith,Leith,Claw Hammer,"Carpentry and Woodworking, General DIY",,5,General DIY
3,Hoes,Leith,Leith,Garden hoe,Garden,,5,Garden
4,Sharp Bristle Brushes,Leith,Leith,Wire brush,General DIY,,3,General DIY
5,Wood Chisel,Leith,Leith,Wood chisel,Carpentry and Woodworking,,2,Carpentry and Woodworking
7,Routers,Leith,Leith,Router Bit Set,General DIY,,8,General DIY
9,Scrapers,Portobello,Portobello,Paint scraper 60mm,Painting and Decorating,,2,Painting and Decorating
11,Hand Wood Splitter,Portobello,Portobello,Roughneck Manual Wood Splitter,"Garden, General DIY",,0,General DIY
12,Engraver,Portobello,Portobello,Dremel Multi Tool,"Bike, Carpentry and Woodworking, General DIY, Plumbing, Miscellaneous, Automotive, Electrical and Soldering, Metalworking",,30,Carpentry and Woodworking
13,Cordless Drills,Portobello,Portobello,Makita cordless drill driver,General DIY,,0,General DIY
ETL0000,Tools,Leith,Leith,OTHER NON-REGISTERED ITEMS,General DIY,,30,General DIY
ETL0001,Shovels & Digging,Portobello,Leith,Garden Spade,"Garden, General DIY, Miscellaneous",,4,Garden
ETL0002,Shovels & Digging,Leith,Leith,Garden Spade,General DIY,,4,General DIY
ETL0003,Shovels & Digging,Leith,Leith,Garden Spade,General DIY,,4,General DIY
ETL0004,Shovels & Digging,Leith,Leith,Garden Spade,General DIY,,4,General DIY
ETL0006,Spade Shovel,Leith,Leith,Garden Spade,"Garden, General DIY, Miscellaneous",,5,Garden
ETL0007,Digging Fork,Portobello,Portobello,Garden Fork,"Garden, Miscellaneous",,5,Garden
ETL0009,Digging Fork,Leith,Leith,Garden Fork,"Garden, Miscellaneous",,5,Garden
ETL0010,Lawn Care (other),Leith,Leith,Lawn aerator,"Garden, Miscellaneous",,5,Garden
ETL0011,Lawn Care (other),Leith,Leith,Lawn aerator,"Garden, Miscellaneous",,5,Garden
ETL0012,Pickaxes,Leith,Leith,Heavy pickaxe,"Garden, General DIY, Miscellaneous",,6,Garden
ETL0013,Pickaxes,Portobello,Portobello,Heavy pickaxe,"Garden, General DIY, Miscellaneous",,6,Garden
ETL0014,Grass Shear,Leith,Leith,Long handled shears,"Garden, Miscellaneous",,6,Garden
ETL0015,Lawn Care (other),Leith,Leith,Edging shears,"Garden, Miscellaneous",,5,Garden
ETL0016,Metal Garden Rake,Leith,Leith,Garden rake,"Garden, Miscellaneous",,8,Garden
ETL0017,Metal Garden Rake,Leith,Leith,Garden rake,"Garden, Miscellaneous",,8,Garden
ETL0018,Hoes,Leith,Leith,Garden hoe,Garden,,5,Garden
ETL0019,Hoes,Leith,Leith,Garden hoe,Garden,,5,Garden
ETL0020,Grass Shear,Leith,Leith,Garden shears,Garden,,10,Garden
ETL0021,Grass Shear,Leith,Leith,Garden shears,Garden,,10,Garden
ETL0022,Grass Shear,Leith,Leith,Garden shears,Garden,,10,Garden
ETL0023,Jig Saws,Leith,Portobello,Multi tool,"Carpentry and Woodworking, General DIY, Metalworking, Miscellaneous",,57,Carpentry and Woodworking
ETL0024,Jig Saws,Leith,Leith,Performance Variable Speed Jigsaw,Carpentry and Woodworking,,30,Carpentry and Woodworking
ETL0025,Corded & Plug-in,Leith,Leith,Parkside Electric Brad Nailer,"Carpentry and Woodworking, General DIY",,40,General DIY
ETL0026,Angle Grinders,Portobello,Portobello,Green Parkside Angle Grinder,"General DIY, Metalworking, Miscellaneous, ...",,54,Metalworking
ETL0027,Random Orbit Sander,Leith,Leith,Draper Random Orbit Sander,"Carpentry and Woodworking, General DIY, Painting and Decorating",,40,Carpentry and Woodworking
ETL0028,Biscuit Joiners,Leith,Leith,GMC Biscuit Joiner,Carpentry and Woodworking,,40,Carpentry and Woodworking
ETL0029,Power Planer,Leith,Leith,Axminster Electric Hand Planer,"Carpentry and Woodworking, General DIY",,45,Carpentry and Woodworking
ETL0030,Routers,Leith,Leith,Bosch Electic Router,Carpentry and Woodworking,,80,Carpentry and Woodworking
ETL0032,Welders,Leith,Leith,Einhell Electric Welding Transformer kit,"Electrical and Soldering, Metalworking",,100,Electrical and Soldering
ETL0034,Power Planer,Leith,Leith,Powercraft Electric Plane,Carpentry and Woodworking,,45,Carpentry and Woodworking
ETL0036,Miter Saws,Leith,Leith,Pro Saw CLM 190LSMS Slide Compound Mitre Saw,Carpentry and Woodworking,,80,Carpentry and Woodworking
ETL0037,Jig Saws,Portobello,Portobello,Jig saw,"Carpentry and Woodworking, General DIY, ...",,35,Carpentry and Woodworking
ETL0038,Heat Gun,Leith,Leith,Heat gun,"General DIY, Painting and Decorating",,45,Painting and Decorating
ETL0040,Power Drills,Portobello,Leith,Electric hammer drill,"Carpentry and Woodworking, General DIY",,40,General DIY
ETL0041,Cordless Drills,Leith,Leith,Cordless drill,"Carpentry and Woodworking, General DIY",,25,General DIY
ETL0043,"Bits, Drivers and Accessories",Leith,Leith,75 Piece Drill Bit set,"Carpentry and Woodworking, General DIY, Metalworking",,36,General DIY
ETL0044,Wood Chisel,Leith,Leith,Wood chisel,Carpentry and Woodworking,,2,Carpentry and Woodworking
ETL0045,Wood Chisel,Leith,Leith,Wood chisel,Carpentry and Woodworking,,2,Carpentry and Woodworking
ETL0046,Wood Chisel,Portobello,Portobello,Wood chisel,Carpentry and Woodworking,,2,Carpentry and Woodworking
ETL0047,Wood Chisel,Leith,Leith,Wood chisel,Carpentry and Woodworking,,2,Carpentry and Woodworking
ETL0048,Wood Chisel,Leith,Leith,Wood chisel,Carpentry and Woodworking,,2,Carpentry and Woodworking
ETL0049,Wood Chisel,Leith,Leith,Wood chisel 12mm blade,Carpentry and Woodworking,,2,Carpentry and Woodworking
ETL0050,Wood Chisel,Portobello,Portobello,Wood chisel,Carpentry and Woodworking,,2,Carpentry and Woodworking
ETL0051,Wood Chisel,Leith,Leith,Wood chisel,Carpentry and Woodworking,,2,Carpentry and Woodworking
ETL0052,Wood Chisel,Leith,Leith,Wood chisel,Carpentry and Woodworking,,2,Carpentry and Woodworking
ETL0053,Wood Chisel,Leith,Leith,Wood chisel,Carpentry and Woodworking,,2,Carpentry and Woodworking
ETL0054,Wood Chisel,Portobello,Portobello,Wood chisel,Carpentry and Woodworking,,2,Carpentry and Woodworking
ETL0055,Wood Chisel,Leith,Leith,Wood chisel,Carpentry and Woodworking,,2,Carpentry and Woodworking
ETL0057,Wood Chisel,Leith,Leith,Wood chisel,Carpentry and Woodworking,,2,Carpentry and Woodworking
ETL0058,Wood Chisel,Leith,Leith,Wood chisel,Carpentry and Woodworking,,2,Carpentry and Woodworking
ETL0060,Wood Chisel,Leith,Leith,Wood chisel,Carpentry and Woodworking,,2,Carpentry and Woodworking
ETL0061,Wood Chisel,Leith,Leith,Wood chisel,Carpentry and Woodworking,,2,Carpentry and Woodworking
ETL0062,Wood Chisel,Leith,Leith,Wood chisel,Carpentry and Woodworking,,2,Carpentry and Woodworking
ETL0063,Wood Chisel,Leith,Leith,Wood chisel,Carpentry and Woodworking,,2,Carpentry and Woodworking
ETL0065,Claw Hammers,Leith,Leith,Claw Hammer,"Carpentry and Woodworking, General DIY",,5,General DIY
ETL0066,Claw Hammers,Leith,Leith,Claw Hammer,"Carpentry and Woodworking, General DIY",,5,General DIY
ETL0068,Claw Hammers,Leith,Leith,tack hammer,"Carpentry and Woodworking, General DIY",,5,General DIY
ETL0069,Claw Hammers,Leith,Leith,tack hammer,"Carpentry and Woodworking, General DIY",,5,General DIY
ETL0070,Plastic Tip Hammers,Leith,Leith,Plastic Tip Hammer,"Carpentry and Woodworking, Electrical and Soldering, General DIY",,5,General DIY
ETL0072,Lawn Mower,Leith,Leith,Petrol Lawn Mower,Garden,,150,Garden
ETL0073,Tenon Saws,Leith,Leith,Tenon saw,Carpentry and Woodworking,,2,Carpentry and Woodworking
ETL0074,Tenon Saws,Leith,Leith,Tenon saw,Carpentry and Woodworking,,2,Carpentry and Woodworking
ETL0076,Tenon Saws,Leith,Leith,Tenon saw,Carpentry and Woodworking,,2,Carpentry and Woodworking
ETL0077,Tenon Saws,Portobello,Portobello,Tenon saw,Carpentry and Woodworking,,2,Carpentry and Woodworking
ETL0078,Tenon Saws,Leith,Leith,Tenon saw,Carpentry and Woodworking,,2,Carpentry and Woodworking
ETL0079,Planes,Leith,Leith,Two handed plane,Carpentry and Woodworking,,5,Carpentry and Woodworking
ETL0080,Planes,Leith,Leith,Two handed plane,Carpentry and Woodworking,,5,Carpentry and Woodworking
ETL0081,Planes,Leith,Leith,Two handed plane,Carpentry and Woodworking,,5,Carpentry and Woodworking
ETL0082,Planes,Leith,Leith,Hand plane,Carpentry and Woodworking,,5,Carpentry and Woodworking
ETL0083,Hack saw,Leith,Leith,Hack saw,"Automotive, Carpentry and Woodworking, General DIY, Metalworking, Miscellaneous, Plumbing",,7,Metalworking
ETL0084,Squares,Leith,Leith,Tri square,"Carpentry and Woodworking, Miscellaneous",,5,Carpentry and Woodworking
ETL0085,Drywall Saws,Leith,Leith,Drywall/hacksaw,"Carpentry and Woodworking, Painting and Decorating",,5,Carpentry and Woodworking
ETL0088,Saws,Leith,Portobello,Hand saw,"Carpentry and Woodworking, General DIY",,45,Carpentry and Woodworking
ETL0089,Back Saw,Leith,Leith,Panel saw,"Carpentry and Woodworking, General DIY",,5,Carpentry and Woodworking
ETL0090,Back Saw,Leith,Leith,Panel saw,"Carpentry and Woodworking, General DIY",,5,Carpentry and Woodworking
ETL0091,Back Saw,Portobello,Portobello,Panel saw,"Carpentry and Woodworking, General DIY",,5,Carpentry and Woodworking
ETL0092,Crosscut Saw,Leith,Leith,Hand Saw,"Carpentry and Woodworking, General DIY",,45,Carpentry and Woodworking
ETL0093,Needle Nose Pliers,Leith,Leith,Needle nosed pliers,"Automotive, Electrical and Soldering, General DIY, Metalworking, Plumbing",,5,Metalworking
ETL0094,Needle Nose Pliers,Leith,Leith,Needle nosed pliers,"Automotive, Electrical and Soldering, General DIY, Metalworking, Plumbing",,5,Metalworking
ETL0095,Lineman Plier,Leith,Leith,Pliers,"Automotive, Bike, Electrical and Soldering, General DIY, Metalworking, Plumbing",,4,General DIY
ETL0096,Lineman Plier,Leith,Leith,Pliers,"Automotive, Bike, Electrical and Soldering, General DIY, Metalworking, Plumbing",,4,General DIY
ETL0097,Wire Cutters,Leith,Leith,Wire stripper,"Automotive, Electrical and Soldering, General DIY",,5,Electrical and Soldering
ETL0098,Wire Cutters,Leith,Leith,Sheet metal cutter (hand),"Automotive, Bike, Electrical and Soldering, General DIY, Metalworking",,6,Metalworking
ETL0099,Wire Cutters,Leith,Leith,Sheet metal cutter (hand),"Automotive, Bike, Electrical and Soldering, General DIY, Metalworking",,6,Metalworking
ETL0100,Wire Cutters,Leith,Leith,Sheet metal cutter (hand),"Automotive, Bike, Electrical and Soldering, General DIY, Metalworking",,6,Metalworking
ETL0101,Wire Cutters,Leith,Leith,Wire stripper/cutter,"Automotive, Electrical and Soldering, Metalworking, Miscellaneous",,2,Electrical and Soldering
ETL0102,Brick Trowel,Leith,Leith,Cement trowel,"Garden, General DIY, Painting and Decorating",,5,General DIY
ETL0104,Brick Trowel,Leith,Leith,Cement trowel,"Garden, General DIY, Painting and Decorating",,5,General DIY
ETL0105,Notched Trowel,Leith,Leith,Tiling trowel,Painting and Decorating,,0,Painting and Decorating
ETL0106,Drywall Saws,Leith,Leith,Drywall/hacksaw,"General DIY, Metalworking",,4,Carpentry and Woodworking
ETL0107,Pipe Wrenches,Leith,Leith,Pipe wrench,"Automotive, General DIY, Metalworking, Plumbing",,8,General DIY
ETL0108,Pry Bar,Leith,Leith,Pry bar,"General DIY, Miscellaneous",,5,General DIY
ETL0109,Pry Bar,Leith,Leith,Pry bar,"General DIY, Miscellaneous",,5,General DIY
ETL0110,Files,Leith,Leith,Rounded File,"Carpentry and Woodworking, General DIY, Metalworking",,4,Metalworking
ETL0111,Files,Leith,Leith,Wood file,"Carpentry and Woodworking, General DIY",,4,Carpentry and Woodworking
ETL0112,Drill Press (hand),Leith,Leith,Drill stand,"Carpentry and Woodworking, General DIY, Metalworking",,15,General DIY
ETL0113,Squares,Leith,Leith,Tri square,"Carpentry and Woodworking, General DIY",,5,Carpentry and Woodworking
ETL0114,Open End Wrench,Leith,Leith,Spanner set,"Automotive, Bike",,20,General DIY
ETL0115,Open End Wrench,Leith,Leith,Spanner set,"Automotive, Bike",,20,General DIY
ETL0116,Hammers & Mallets,Leith,Leith,Wooden mallet,"Carpentry and Woodworking, General DIY",,5,Carpentry and Woodworking
ETL0117,Levels,Leith,Leith,1m Spirit Level,"Carpentry and Woodworking, General DIY, Painting and Decorating",,10,General DIY
ETL0118,Misc,Leith,Leith,Fetching ETL branded hard hat,"Garden, General DIY, Miscellaneous, Painting and Decorating",,5,Miscellaneous
ETL0119,Wood Chisel,Leith,Leith,Wood chisel set,Carpentry and Woodworking,,20,Carpentry and Woodworking
ETL0120,Ball Peen Hammers,Leith,Leith,Ball peen hammer,General DIY,,4,General DIY
ETL0121,Claw Hammers,Leith,Leith,Club hammer,"Carpentry and Woodworking, Garden, General DIY, Miscellaneous",,5,General DIY
ETL0122,Claw Hammers,Leith,Leith,Club Hammer,"Carpentry and Woodworking, Garden, General DIY, Miscellaneous",,5,General DIY
ETL0124,Pickaxes,Leith,Leith,Chipping hammer / Rock pick,"Garden, General DIY, Miscellaneous",,6,Garden
ETL0125,Tape Measures,Portobello,Portobello,Tape measure,"Automotive, Carpentry and Woodworking, Garden, General DIY, Metalworking, Miscellaneous, Painting and Decorating, Plumbing",,2,General DIY
ETL0126,Tape Measures,Leith,Leith,Tape measure,"Automotive, Carpentry and Woodworking, Garden, General DIY, Metalworking, Miscellaneous, Painting and Decorating, Plumbing",,2,General DIY
ETL0127,Brick Trowel,Leith,Leith,Cement trowel,"Garden, General DIY, Painting and Decorating",,5,General DIY
ETL0128,Planes,Leith,Leith,Hand plane,Carpentry and Woodworking,,5,Carpentry and Woodworking
ETL0129,Squares,Leith,Leith,Large Tri square,"Carpentry and Woodworking, Miscellaneous",,5,Carpentry and Woodworking
ETL0130,Wire Cutters,Leith,Leith,Sheet metal cutter (hand),"Automotive, Bike, Electrical and Soldering, General DIY, Metalworking",,6,Metalworking
ETL0131,Cement Chisel,Leith,Leith,Stone chisel,"Garden, General DIY",,8,General DIY
ETL0132,Bow Saws,Leith,Leith,Bush saw,Garden,,8,Garden
ETL0133,Tap and Die,Leith,Leith,"Tap and die set (1/4"" 5/16"" 3/8"")",Carpentry and Woodworking,,10,Carpentry and Woodworking
ETL0134,Hand Sickle,Leith,Leith,Hand sickle,Garden,,5,General DIY
ETL01340,Pruning Saw,Leith,Portobello,Folding pruning saw,"Garden, General DIY",,26.49,Garden
ETL0136,Socket Sets,Portobello,Portobello,Socket set,"Automotive, Bike",,20,General DIY
ETL0137,Testers (hand held),Leith,Leith,Stud finder,"Carpentry and Woodworking, General DIY, Painting and Decorating, Plumbing",,20,General DIY
ETL0138,Staple Gun,Leith,Leith,Staple gun,"Carpentry and Woodworking, General DIY, Painting and Decorating",,12,General DIY
ETL0139,Rivet Tools,Leith,Leith,Hand riveter,"Carpentry and Woodworking, General DIY, Metalworking, Miscellaneous, Painting and Decorating",,10,General DIY
ETL0140,Marking,Leith,Leith,Marking guage,Carpentry and Woodworking,,10,Carpentry and Woodworking
