Item Name,Item ID,Type,Loans,Completed Loans,Total DaysOut,Average Loan Length
Ryobi Jigsaw,ETL1214,Jig Saws,34,34,248,7.3
Corded circular saw,ETL0401,Circular Saws,33,33,253,7.67
75 piece drill bit and saw set,ETL0417,"Bits, Drivers and Accessories",33,33,202,6.13
Electric lawn mower,ETL0488,Corded Mowers,33,33,130,3.94
MacAllister Jigsaw,ETL0706,Jig Saws,32,32,250,7.82
BOSCH X50Ti Drill Bit Set,ETL0946,"Bits, Drivers and Accessories",32,32,224,7
Cordless drill,ETL0168,Cordless Drills,32,32,195,6.1
Jigsaw - Bosch PST 650L,ETL0433,Jig Saws,31,31,245,7.91
Black & Decker Jigsaw,ETL0323,Jig Saws,31,31,191,6.17
Detail Sander,ETL0964,Finishing Power Sanders,30,30,229,7.64
Cordless drill,ETL0908,Cordless Drills,30,30,217,7.24
Step ladders,ETL0338,Step Ladders,30,30,180,6
Bosch Power Sander,ETL0923,Finishing Power Sanders,29,29,224,7.73
JCB 20v Cordless Drill,ETL0387,Cordless Drills,29,29,218,7.52
Bar clamp,ETL0248,Bar Clamps,29,29,207,7.14
Makita Cordless Drill,ETL0366,Cordless Drills,29,29,207,7.14
75 Piece Drill Bit set,ETL0043,"Bits, Drivers and Accessories",29,29,203,7
Step Ladder,ETL0411,Step Ladders,29,29,188,6.49
Random Orbital Sander,ETL1218,Random Orbit Sander,29,29,180,6.21
75 Piece Drill Bit and Saw set,ETL1257,"Bits, Drivers and Accessories",29,29,176,6.07
G clamp set of 4,ETL0886,Bar Clamps,29,29,154,5.32
Cordless drill,ETL0167,Cordless Drills,28,28,209,7.47
Portable Folding Work Bench,ETL1114,Hand Tools,28,28,183,6.54
Makita cordless drill,ETL0347,Cordless Drills,27,27,178,6.6
Performance Power Pro Electric Screwdriver,ETL0326,Cordless Drills,27,27,155,5.75
Corded circular saw,ETL0310,Circular Saws,26,26,170,6.54
Palm Sander,ETL1018,Finishing Power Sanders,26,26,166,6.39
Black & Decker 12v Cordless Drill,ETL0384,Cordless Drills,26,26,160,6.16
